Timestep,Mean_L2,Std_L2,Max_L2,Min_L2
82,2.8881841353722847e-05,5.086037481008499e-06,3.8715152186341584e-05,2.5489685867796652e-05
83,2.896102123486344e-05,5.0810615259765346e-06,3.878025381709449e-05,2.557506741140969e-05
84,2.9040763911325486e-05,5.075826855407504e-06,3.884546458721161e-05,2.566150578786619e-05
85,2.9120997351128607e-05,5.070707512445039e-06,3.8911417505005375e-05,2.57483079622034e-05
86,2.9201385405031034e-05,5.06552280573737e-06,3.89775559597183e-05,2.5835206542978995e-05
87,2.9282408286235294e-05,5.0604144181386045e-06,3.904454570147209e-05,2.5922998247551732e-05
88,2.9363691646722144e-05,5.055040822476993e-06,3.911144085577689e-05,2.6011630325228907e-05
89,2.9445427571772598e-05,5.049723319777757e-06,3.9178848965093493e-05,2.609319744806271e-05
90,2.9527613151003607e-05,5.044362577655502e-06,3.924681732314639e-05,2.617057725728955e-05
91,2.9609993725898674e-05,5.038905981537756e-06,3.931489118258469e-05,2.6248488211422227e-05
92,2.969290144392289e-05,5.033244282806898e-06,3.9383096009260044e-05,2.632667383295484e-05
93,2.977614785777405e-05,5.027896286703596e-06,3.945237403968349e-05,2.6405492462799884e-05
94,2.985939099744428e-05,5.022181140269247e-06,3.952101178583689e-05,2.6484605768928304e-05
95,2.994313799717929e-05,5.016546349132566e-06,3.959039895562455e-05,2.65643229795387e-05
96,3.0027132015675307e-05,5.0107777395887965e-06,3.965983705711551e-05,2.664443127287086e-05
97,3.01115054753609e-05,5.0050315962763015e-06,3.972978811361827e-05,2.6725378120318055e-05
98,3.019598952960223e-05,4.999098783645739e-06,3.979964094469324e-05,2.6806495952769183e-05
99,3.0280729697551577e-05,4.993182674241258e-06,3.986981755588204e-05,2.688775202841498e-05
100,3.0365749989869072e-05,4.987106620666684e-06,3.994008511654101e-05,2.6969946702593006e-05
101,3.045086377824191e-05,4.980932003367297e-06,4.0010334487305954e-05,2.7052223231294192e-05
102,3.053621512663085e-05,4.974748217391759e-06,4.008085670648143e-05,2.713468529691454e-05
103,3.062178766413126e-05,4.96834503598508e-06,4.0151324355974793e-05,2.72179222520208e-05
104,3.070747152378317e-05,4.962083347858208e-06,4.0222261304734275e-05,2.7301308364258148e-05
105,3.0793363475822846e-05,4.955555514127768e-06,4.029296906082891e-05,2.7385109206079505e-05
106,3.087962395511568e-05,4.9490316388450045e-06,4.03640151489526e-05,2.7469066480989568e-05
107,3.096592845395207e-05,4.942481270341213e-06,4.043525768793188e-05,2.755360401351936e-05
108,3.1052311896928586e-05,4.9357618001889914e-06,4.050632560392842e-05,2.763803058769554e-05
109,3.113883576588705e-05,4.928760346466227e-06,4.057703699800186e-05,2.772320294752717e-05
110,3.1225462225847875e-05,4.921979898523709e-06,4.0648366848472506e-05,2.7808286176878028e-05
111,3.131229277641978e-05,4.914850431167829e-06,4.071929652127437e-05,2.7894246159121394e-05
112,3.139934015052859e-05,4.907769089943737e-06,4.0790597267914563e-05,2.7979869628325105e-05
113,3.148630348732695e-05,4.900568051451332e-06,4.086173066752963e-05,2.8066066079190932e-05
114,3.157349638058804e-05,4.893322229977582e-06,4.0933035052148625e-05,2.8152438972028904e-05
115,3.166077294736169e-05,4.885732813221541e-06,4.10037646361161e-05,2.8239008315722458e-05
116,3.174811427015811e-05,4.87828414136181e-06,4.1075010813074186e-05,2.8325577659416012e-05
117,3.1835544723435306e-05,4.870704802925155e-06,4.114604234928265e-05,2.8412561732693575e-05
118,3.192303047399037e-05,4.863000633652399e-06,4.121703022974543e-05,2.84998859569896e-05
119,3.201067556801718e-05,4.855316353053652e-06,4.12882691307459e-05,2.8587135602720082e-05
120,3.209844508091919e-05,4.8474588009053726e-06,4.135932613280602e-05,2.8674781788140535e-05
121,3.2186280805035494e-05,4.83944390353852e-06,4.143027763348073e-05,2.8763071895809844e-05
122,3.2274275145027784e-05,4.831377954069716e-06,4.150129825575277e-05,2.885106732719578e-05
123,3.2362163983634674e-05,4.8233038237928695e-06,4.1572184272808954e-05,2.8939275580341928e-05
124,3.2450050639454275e-05,4.814984767751114e-06,4.164269921602681e-05,2.902786945924163e-05
125,3.2538143204874356e-05,4.806682369621839e-06,4.171357795712538e-05,2.9116712539689615e-05
126,3.262626923969947e-05,4.798187215785656e-06,4.178410381427966e-05,2.9205330065451562e-05
127,3.271440691605676e-05,4.789618093820442e-06,4.18545059801545e-05,2.9294396881596185e-05
128,3.280247074144427e-05,4.7811195367283835e-06,4.192509732092731e-05,2.938353645731695e-05
129,3.28907095536124e-05,4.7723669795983746e-06,4.1995386709459126e-05,2.9473141694325022e-05
130,3.297915172879584e-05,4.763657767936712e-06,4.206593439448625e-05,2.9562419513240457e-05
131,3.3067447657231244e-05,4.754902526512721e-06,4.213644206174649e-05,2.9652164812432602e-05
132,3.31558348989347e-05,4.745868959185218e-06,4.220648770569824e-05,2.974177732539829e-05
133,3.3244233054574576e-05,4.736872543848047e-06,4.227658428135328e-05,2.9831642677891068e-05
134,3.333262575324625e-05,4.727788356445701e-06,4.234664447722025e-05,2.9921764507889748e-05
135,3.342110794619657e-05,4.718487097763604e-06,4.241637361701578e-05,3.0012024581083097e-05
136,3.350957413204014e-05,4.709250083120769e-06,4.2486241000005975e-05,3.0102100936346687e-05
137,3.359806360094808e-05,4.699866959658182e-06,4.2555879190331325e-05,3.0192502890713513e-05
138,3.3686749884509484e-05,4.69046794681021e-06,4.2625655623851344e-05,3.028295213880483e-05
139,3.377537104825024e-05,4.681067296610977e-06,4.269556302460842e-05,3.037355600099545e-05
140,3.3863907083286905e-05,4.671490166035545e-06,4.2764902900671586e-05,3.0464010706054978e-05
141,3.3952538069570436e-05,4.661972875799213e-06,4.2834493797272444e-05,3.055458364542574e-05
142,3.4041093022096903e-05,4.652333396882444e-06,4.290385913918726e-05,3.0645500373793766e-05
143,3.4129717823816465e-05,4.6424037676563426e-06,4.297268606023863e-05,3.073663174291141e-05
144,3.421833243919536e-05,4.632609507122979e-06,4.304180765757337e-05,3.08276285068132e-05
145,3.430708457017317e-05,4.6227792345195775e-06,4.311106386012398e-05,3.091895268880762e-05
146,3.439581705606542e-05,4.612802476964646e-06,4.318002538639121e-05,3.101019683526829e-05
147,3.4484621573938055e-05,4.602680785260246e-06,4.324879773776047e-05,3.11019248329103e-05
148,3.457320635789074e-05,4.592637734998364e-06,4.331757008912973e-05,3.119317989330739e-05
149,3.466200796538032e-05,4.582382665676071e-06,4.3386076868046075e-05,3.1284947908716276e-05
150,3.475062476354651e-05,4.572238198060842e-06,4.3454725528135896e-05,3.137626845273189e-05
151,3.48393943568226e-05,4.561821509522937e-06,4.352298492449336e-05,3.1468105589738116e-05
152,3.492803880362771e-05,4.551465377507336e-06,4.359116428531706e-05,3.155969534418546e-05
153,3.501682222122327e-05,4.541091684078406e-06,4.3659565562848e-05,3.165159068885259e-05
154,3.510561873554252e-05,4.530566644634713e-06,4.372755574877374e-05,3.174338417011313e-05
155,3.5194536030758174e-05,4.520055252470471e-06,4.379590245662257e-05,3.183553053531796e-05
156,3.5283278702991086e-05,4.50951164127346e-06,4.3863845348823816e-05,3.1927360396366566e-05
