Resolution,BC_a,BC_b,BC_c,BC_d,L2_Error,PDE_Error_Pred,PDE_Error_True
4x,-0.5,0.5,0.0,0.0,7.881912461016327e-05,0.17219042778015137,0.1721784770488739
4x,-0.5,0.5,0.0,0.0,0.0001266147883143276,0.17219272255897522,0.17217837274074554
4x,-0.5,0.5,0.0,0.0,7.029569678707048e-05,0.17218953371047974,0.1721782237291336
4x,-0.5,0.5,0.0,0.0,5.2133553253952414e-05,0.17219161987304688,0.1721784919500351
4x,-0.5,0.5,0.0,0.0,0.00011540021660039201,0.17219218611717224,0.17217838764190674
4x,-0.5,0.5,0.0,0.0,0.00010187314910581335,0.17219886183738708,0.1721785068511963
4x,-0.5,0.5,0.0,0.0,8.184866601368412e-05,0.1721901297569275,0.1721782088279724
4x,-0.5,0.5,0.0,0.0,7.282318983925506e-05,0.17219047248363495,0.1721782088279724
4x,-0.5,0.5,0.0,0.0,5.06781943840906e-05,0.17219100892543793,0.17217837274074554
4x,-0.5,0.5,0.0,0.0,8.991300273919478e-05,0.1721924990415573,0.1721784919500351
4x,-0.5,0.5,0.0,0.0,5.591468288912438e-05,0.17219264805316925,0.17217834293842316
4x,-0.5,0.5,0.0,0.0,7.863822975195944e-05,0.17219161987304688,0.17217813432216644
4x,-0.5,0.5,0.0,0.0,4.379362871986814e-05,0.17219310998916626,0.17217795550823212
4x,-0.5,0.5,0.0,0.0,7.692852523177862e-05,0.17218944430351257,0.17217834293842316
4x,-0.5,0.5,0.0,0.0,7.243865547934547e-05,0.17219454050064087,0.17217837274074554
4x,-0.5,0.5,0.0,0.0,7.499699859181419e-05,0.1721918284893036,0.17217838764190674
4x,-0.5,0.5,0.0,0.0,4.8380959924543276e-05,0.17219534516334534,0.17217831313610077
4x,-0.5,0.5,0.0,0.0,4.3865296902367845e-05,0.172189399600029,0.17217835783958435
4x,-0.5,0.5,0.0,0.0,0.0001124026020988822,0.17219001054763794,0.1721782237291336
4x,-0.5,0.5,0.0,0.0,5.522489664144814e-05,0.17218860983848572,0.1721782386302948
4x,-0.5,0.5,0.0,0.0,4.6129476686473936e-05,0.17218920588493347,0.17217817902565002
4x,-0.5,0.5,0.0,0.0,7.773487595841289e-05,0.17218898236751556,0.17217807471752167
4x,-0.5,0.5,0.0,0.0,8.04819937911816e-05,0.17219474911689758,0.17217837274074554
4x,-0.5,0.5,0.0,0.0,7.004098006291315e-05,0.17218883335590363,0.1721784472465515
4x,-0.5,0.5,0.0,0.0,5.9203794080531225e-05,0.17219017446041107,0.17217831313610077
4x,-0.5,0.5,0.0,0.0,4.81527422380168e-05,0.17219196259975433,0.17217841744422913
4x,-0.5,0.5,0.0,0.0,7.547721907030791e-05,0.17218929529190063,0.1721782237291336
4x,-0.5,0.5,0.0,0.0,8.739157783566043e-05,0.17219163477420807,0.17217808961868286
4x,-0.5,0.5,0.0,0.0,0.00010830846440512687,0.17218774557113647,0.17217810451984406
4x,-0.5,0.5,0.0,0.0,6.117988959886134e-05,0.17218898236751556,0.17217814922332764
4x,-0.5,0.5,0.0,0.0,6.0326201491989195e-05,0.17218704521656036,0.17217837274074554
4x,-0.5,0.5,0.0,0.0,9.723740367917344e-05,0.1721929907798767,0.17217834293842316
4x,-0.5,0.5,0.0,0.0,5.195581616135314e-05,0.17219237983226776,0.1721785068511963
4x,-0.5,0.5,0.0,0.0,5.101831993670203e-05,0.17218869924545288,0.1721787005662918
4x,-0.5,0.5,0.0,0.0,0.0001020281488308683,0.17219191789627075,0.17217817902565002
4x,-0.5,0.5,0.0,0.0,6.697611388517544e-05,0.17219001054763794,0.17217828333377838
4x,-0.5,0.5,0.0,0.0,6.619422492804006e-05,0.1721881777048111,0.17217817902565002
4x,-0.5,0.5,0.0,0.0,0.0001667326141614467,0.1721918135881424,0.17217834293842316
4x,-0.5,0.5,0.0,0.0,8.071790216490626e-05,0.17219188809394836,0.17217834293842316
4x,-0.5,0.5,0.0,0.0,7.731683581368998e-05,0.172199547290802,0.17217852175235748
4x,-0.5,0.5,0.0,0.0,5.70701013202779e-05,0.17220661044120789,0.17217861115932465
